date,predicted_play_count,artist_id
2015-09-01,443,023406156015ef87f99521f3b343f71f
2015-09-02,466,023406156015ef87f99521f3b343f71f
2015-09-03,477,023406156015ef87f99521f3b343f71f
2015-09-04,456,023406156015ef87f99521f3b343f71f
2015-09-05,451,023406156015ef87f99521f3b343f71f
2015-09-06,463,023406156015ef87f99521f3b343f71f
2015-09-07,463,023406156015ef87f99521f3b343f71f
2015-09-08,459,023406156015ef87f99521f3b343f71f
2015-09-09,461,023406156015ef87f99521f3b343f71f
2015-09-10,461,023406156015ef87f99521f3b343f71f
2015-09-11,459,023406156015ef87f99521f3b343f71f
2015-09-12,460,023406156015ef87f99521f3b343f71f
2015-09-13,461,023406156015ef87f99521f3b343f71f
2015-09-14,460,023406156015ef87f99521f3b343f71f
2015-09-15,460,023406156015ef87f99521f3b343f71f
2015-09-16,461,023406156015ef87f99521f3b343f71f
2015-09-17,461,023406156015ef87f99521f3b343f71f
2015-09-18,460,023406156015ef87f99521f3b343f71f
2015-09-19,460,023406156015ef87f99521f3b343f71f
2015-09-20,461,023406156015ef87f99521f3b343f71f
2015-09-21,460,023406156015ef87f99521f3b343f71f
2015-09-22,460,023406156015ef87f99521f3b343f71f
2015-09-23,461,023406156015ef87f99521f3b343f71f
2015-09-24,460,023406156015ef87f99521f3b343f71f
2015-09-25,460,023406156015ef87f99521f3b343f71f
2015-09-26,460,023406156015ef87f99521f3b343f71f
2015-09-27,460,023406156015ef87f99521f3b343f71f
2015-09-28,460,023406156015ef87f99521f3b343f71f
2015-09-29,460,023406156015ef87f99521f3b343f71f
2015-09-30,460,023406156015ef87f99521f3b343f71f
2015-10-01,460,023406156015ef87f99521f3b343f71f
2015-10-02,460,023406156015ef87f99521f3b343f71f
2015-10-03,460,023406156015ef87f99521f3b343f71f
2015-10-04,460,023406156015ef87f99521f3b343f71f
2015-10-05,460,023406156015ef87f99521f3b343f71f
2015-10-06,460,023406156015ef87f99521f3b343f71f
2015-10-07,460,023406156015ef87f99521f3b343f71f
2015-10-08,460,023406156015ef87f99521f3b343f71f
2015-10-09,460,023406156015ef87f99521f3b343f71f
2015-10-10,460,023406156015ef87f99521f3b343f71f
2015-10-11,460,023406156015ef87f99521f3b343f71f
2015-10-12,460,023406156015ef87f99521f3b343f71f
2015-10-13,460,023406156015ef87f99521f3b343f71f
2015-10-14,460,023406156015ef87f99521f3b343f71f
2015-10-15,460,023406156015ef87f99521f3b343f71f
2015-10-16,460,023406156015ef87f99521f3b343f71f
2015-10-17,460,023406156015ef87f99521f3b343f71f
2015-10-18,460,023406156015ef87f99521f3b343f71f
2015-10-19,460,023406156015ef87f99521f3b343f71f
2015-10-20,460,023406156015ef87f99521f3b343f71f
2015-10-21,460,023406156015ef87f99521f3b343f71f
2015-10-22,460,023406156015ef87f99521f3b343f71f
2015-10-23,460,023406156015ef87f99521f3b343f71f
2015-10-24,460,023406156015ef87f99521f3b343f71f
2015-10-25,460,023406156015ef87f99521f3b343f71f
2015-10-26,460,023406156015ef87f99521f3b343f71f
2015-10-27,460,023406156015ef87f99521f3b343f71f
2015-10-28,460,023406156015ef87f99521f3b343f71f
2015-10-29,460,023406156015ef87f99521f3b343f71f
2015-10-30,460,023406156015ef87f99521f3b343f71f
2015-09-01,316,025943df23acf5d3863b35fa6e0d79ec
2015-09-02,306,025943df23acf5d3863b35fa6e0d79ec
2015-09-03,279,025943df23acf5d3863b35fa6e0d79ec
2015-09-04,291,025943df23acf5d3863b35fa6e0d79ec
2015-09-05,310,025943df23acf5d3863b35fa6e0d79ec
2015-09-06,306,025943df23acf5d3863b35fa6e0d79ec
2015-09-07,297,025943df23acf5d3863b35fa6e0d79ec
2015-09-08,296,025943df23acf5d3863b35fa6e0d79ec
2015-09-09,302,025943df23acf5d3863b35fa6e0d79ec
2015-09-10,305,025943df23acf5d3863b35fa6e0d79ec
2015-09-11,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-12,298,025943df23acf5d3863b35fa6e0d79ec
2015-09-13,300,025943df23acf5d3863b35fa6e0d79ec
2015-09-14,303,025943df23acf5d3863b35fa6e0d79ec
2015-09-15,302,025943df23acf5d3863b35fa6e0d79ec
2015-09-16,300,025943df23acf5d3863b35fa6e0d79ec
2015-09-17,300,025943df23acf5d3863b35fa6e0d79ec
2015-09-18,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-19,302,025943df23acf5d3863b35fa6e0d79ec
2015-09-20,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-21,300,025943df23acf5d3863b35fa6e0d79ec
2015-09-22,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-23,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-24,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-25,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-26,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-27,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-28,301,025943df23acf5d3863b35fa6e0d79ec
2015-09-29,301,025943df23acf5d3863b35fa6e0d79ec
